baron_fst,baron_kills,champ_fst,champ_kills,drg_fst,drg_kill,inhib_fst,inhib_kills,rf_fst,rf_kills,tw_fst,tw_kills,teamId,win,gameDuration
False,0.0,True,35.0,True,2.0,False,0.0,True,2.0,True,8.0,100.0,False,1689
False,0.0,True,30.0,True,2.0,False,0.0,True,2.0,True,6.0,100.0,True,1265
True,3.0,False,41.0,False,2.0,True,3.0,False,1.0,True,8.0,100.0,False,2584
True,1.0,True,38.0,False,4.0,True,1.0,True,1.0,True,7.0,100.0,True,1793
True,1.0,False,52.0,False,4.0,True,2.0,True,2.0,True,9.0,100.0,False,3129
True,2.0,False,34.0,False,1.0,True,3.0,True,2.0,True,10.0,100.0,True,2044
True,1.0,True,35.0,False,3.0,True,1.0,False,1.0,False,8.0,100.0,True,1852
False,0.0,False,51.0,False,0.0,True,2.0,False,0.0,True,3.0,100.0,False,1432
True,1.0,False,30.0,False,1.0,True,1.0,False,1.0,False,4.0,100.0,False,2079
True,1.0,False,47.0,False,1.0,True,2.0,True,1.0,True,9.0,100.0,True,1952
False,0.0,True,27.0,True,2.0,False,0.0,True,2.0,True,5.0,100.0,False,1924
False,0.0,True,21.0,True,3.0,False,0.0,False,1.0,False,4.0,100.0,True,1213
False,0.0,False,17.0,True,2.0,False,0.0,True,1.0,False,5.0,100.0,False,1674
False,0.0,False,21.0,True,2.0,False,0.0,False,1.0,False,3.0,100.0,False,1998
True,1.0,True,44.0,True,4.0,True,1.0,True,2.0,True,10.0,100.0,True,1456
True,1.0,False,39.0,False,3.0,False,1.0,True,1.0,True,8.0,100.0,True,1859
False,0.0,True,37.0,True,2.0,False,0.0,False,0.0,False,2.0,100.0,False,1933
False,0.0,False,16.0,False,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1486
True,1.0,True,42.0,False,2.0,True,2.0,True,2.0,True,10.0,100.0,True,1809
False,0.0,True,20.0,False,1.0,False,0.0,False,0.0,False,2.0,100.0,True,935
False,0.0,False,11.0,False,1.0,True,1.0,False,1.0,False,7.0,100.0,True,1127
False,0.0,True,28.0,False,2.0,True,1.0,True,1.0,False,5.0,100.0,False,2071
False,0.0,False,15.0,False,0.0,False,0.0,True,2.0,True,2.0,100.0,False,1573
False,0.0,False,47.0,False,0.0,False,1.0,False,0.0,False,2.0,100.0,False,1438
True,2.0,False,34.0,False,1.0,True,3.0,False,0.0,False,11.0,100.0,True,2002
True,1.0,True,37.0,False,1.0,True,1.0,True,1.0,True,9.0,100.0,True,1794
True,1.0,True,40.0,False,2.0,True,1.0,False,0.0,True,8.0,100.0,True,1494
False,0.0,False,21.0,True,2.0,False,0.0,False,1.0,False,3.0,100.0,False,1998
True,1.0,True,25.0,False,2.0,True,1.0,False,0.0,False,7.0,100.0,True,1686
True,1.0,True,48.0,False,2.0,True,2.0,False,0.0,True,8.0,100.0,True,1931
False,0.0,False,20.0,False,1.0,False,0.0,True,1.0,True,2.0,100.0,False,1450
False,1.0,True,46.0,True,3.0,False,1.0,True,1.0,False,7.0,100.0,True,2443
False,0.0,True,19.0,True,3.0,False,0.0,False,1.0,True,5.0,100.0,True,1216
False,0.0,False,24.0,False,1.0,True,1.0,True,2.0,True,8.0,100.0,True,1690
False,0.0,True,24.0,False,0.0,False,0.0,False,1.0,True,5.0,100.0,True,1038
False,0.0,False,24.0,False,3.0,True,1.0,True,2.0,True,7.0,100.0,True,1724
False,0.0,True,30.0,True,4.0,True,1.0,True,2.0,True,10.0,100.0,True,1834
False,0.0,True,26.0,False,0.0,False,0.0,True,2.0,True,3.0,100.0,False,1878
False,0.0,True,33.0,False,0.0,False,0.0,False,0.0,True,1.0,100.0,False,966
False,0.0,True,26.0,False,2.0,False,0.0,True,1.0,False,4.0,100.0,False,1716
False,0.0,True,49.0,True,1.0,True,1.0,False,0.0,False,5.0,100.0,False,2168
True,1.0,True,39.0,True,4.0,True,2.0,False,1.0,False,9.0,100.0,True,2039
True,1.0,False,19.0,False,1.0,True,1.0,True,2.0,False,7.0,100.0,True,1341
True,2.0,True,23.0,False,3.0,True,3.0,True,1.0,True,11.0,100.0,True,1762
False,0.0,False,60.0,False,0.0,True,3.0,False,0.0,False,4.0,100.0,False,1518
False,0.0,False,10.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1212
False,0.0,False,25.0,True,1.0,False,0.0,False,0.0,False,2.0,100.0,False,1728
False,0.0,False,33.0,False,1.0,False,0.0,True,1.0,False,4.0,100.0,False,1929
True,1.0,True,36.0,False,1.0,True,1.0,False,1.0,False,7.0,100.0,True,1788
True,2.0,False,34.0,False,1.0,True,3.0,False,0.0,False,11.0,100.0,True,2002
True,1.0,True,36.0,True,3.0,False,0.0,True,2.0,True,7.0,100.0,True,1488
False,0.0,False,22.0,True,1.0,False,0.0,False,0.0,False,2.0,100.0,False,1644
False,0.0,True,16.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,True,936
False,0.0,True,25.0,False,2.0,False,0.0,True,2.0,True,5.0,100.0,False,2022
False,0.0,False,9.0,True,2.0,False,0.0,False,1.0,False,2.0,100.0,False,1612
True,2.0,True,39.0,True,5.0,True,1.0,True,1.0,True,8.0,100.0,True,2015
False,0.0,False,25.0,False,0.0,False,0.0,False,0.0,False,3.0,100.0,False,1672
True,1.0,False,19.0,False,1.0,True,1.0,True,2.0,False,7.0,100.0,True,1341
True,2.0,False,42.0,False,1.0,True,4.0,False,0.0,True,10.0,100.0,True,2374
False,0.0,True,21.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1471
True,2.0,True,40.0,False,4.0,True,3.0,False,1.0,True,9.0,100.0,True,1883
False,0.0,False,15.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1433
False,0.0,True,52.0,False,0.0,True,2.0,False,0.0,False,4.0,100.0,True,990
True,1.0,True,39.0,True,4.0,True,2.0,False,1.0,False,9.0,100.0,True,2039
False,0.0,False,22.0,False,1.0,False,0.0,True,1.0,True,2.0,100.0,False,1933
False,0.0,False,3.0,True,2.0,False,0.0,False,0.0,False,0.0,100.0,False,924
False,0.0,True,28.0,True,2.0,True,1.0,True,1.0,True,7.0,100.0,True,1855
True,2.0,True,42.0,False,4.0,True,2.0,False,0.0,False,9.0,100.0,True,1822
False,0.0,False,33.0,False,1.0,False,0.0,True,1.0,False,4.0,100.0,False,1929
False,0.0,False,12.0,False,1.0,False,0.0,False,0.0,False,3.0,100.0,False,1471
True,1.0,True,36.0,False,2.0,True,1.0,False,1.0,True,5.0,100.0,True,1534
False,0.0,True,47.0,True,2.0,False,0.0,True,2.0,False,5.0,100.0,False,2080
False,0.0,True,12.0,True,2.0,False,0.0,True,1.0,True,4.0,100.0,True,920
False,0.0,True,13.0,True,1.0,False,0.0,False,1.0,False,0.0,100.0,False,1399
False,0.0,True,25.0,False,0.0,False,0.0,True,2.0,True,3.0,100.0,False,1659
False,0.0,False,20.0,False,1.0,False,0.0,True,1.0,True,2.0,100.0,False,1450
True,1.0,False,32.0,True,4.0,True,1.0,True,1.0,True,7.0,100.0,True,1559
False,0.0,False,9.0,False,0.0,False,0.0,True,1.0,True,3.0,100.0,False,1432
False,0.0,True,8.0,True,1.0,False,0.0,True,2.0,True,1.0,100.0,False,944
False,0.0,True,28.0,False,1.0,False,0.0,True,2.0,True,5.0,100.0,True,1129
False,0.0,False,22.0,True,1.0,False,0.0,True,1.0,True,3.0,100.0,True,967
False,1.0,False,38.0,True,3.0,False,1.0,False,1.0,False,7.0,100.0,False,2258
True,1.0,False,32.0,False,2.0,True,3.0,False,1.0,False,11.0,100.0,True,1563
False,0.0,True,15.0,True,2.0,False,0.0,True,1.0,True,4.0,100.0,True,918
True,1.0,False,30.0,True,3.0,True,2.0,True,2.0,True,9.0,100.0,True,1340
False,0.0,False,15.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1433
False,0.0,False,15.0,False,0.0,False,0.0,True,2.0,False,0.0,100.0,False,1340
True,1.0,True,17.0,True,3.0,False,0.0,True,2.0,False,6.0,100.0,True,1446
False,0.0,True,53.0,False,0.0,True,1.0,False,0.0,False,4.0,100.0,True,1285
False,0.0,True,13.0,False,0.0,False,1.0,False,0.0,False,3.0,100.0,False,1358
False,0.0,True,17.0,False,0.0,False,0.0,False,1.0,False,6.0,100.0,False,1747
False,0.0,False,19.0,False,0.0,True,3.0,True,1.0,True,11.0,100.0,True,1121
False,0.0,False,27.0,True,3.0,False,0.0,False,0.0,True,3.0,100.0,False,1749
True,1.0,False,32.0,True,2.0,True,1.0,True,1.0,True,9.0,100.0,True,1644
False,0.0,True,26.0,True,1.0,False,0.0,True,2.0,True,4.0,100.0,False,1888
False,0.0,True,12.0,False,0.0,False,0.0,True,1.0,True,1.0,100.0,False,1310
False,0.0,True,19.0,True,2.0,False,0.0,True,1.0,True,4.0,100.0,True,939
False,0.0,True,30.0,True,2.0,False,0.0,True,2.0,True,6.0,100.0,True,1265
False,0.0,True,43.0,False,0.0,False,1.0,False,0.0,False,2.0,100.0,False,1261
True,1.0,True,21.0,True,2.0,False,0.0,True,1.0,True,3.0,100.0,False,1972
False,0.0,False,14.0,False,0.0,False,0.0,True,1.0,False,1.0,100.0,False,1483
False,0.0,False,11.0,False,0.0,False,0.0,True,1.0,True,2.0,100.0,False,1672
False,0.0,True,21.0,True,3.0,False,0.0,False,1.0,False,4.0,100.0,True,1213
False,0.0,True,11.0,True,1.0,False,0.0,False,0.0,False,0.0,100.0,True,657
False,1.0,False,27.0,True,3.0,True,1.0,False,1.0,False,8.0,100.0,True,2074
False,0.0,False,19.0,False,0.0,False,0.0,False,0.0,False,2.0,100.0,False,1767
False,0.0,True,12.0,False,0.0,False,0.0,True,1.0,True,2.0,100.0,True,702
False,0.0,False,55.0,False,0.0,True,1.0,False,0.0,True,4.0,100.0,False,1187
True,1.0,False,41.0,False,3.0,True,3.0,True,1.0,True,10.0,100.0,True,1750
False,0.0,False,9.0,False,0.0,False,0.0,True,1.0,False,2.0,100.0,False,1216
False,0.0,False,23.0,False,1.0,False,0.0,True,1.0,False,1.0,100.0,False,1560
False,0.0,False,21.0,False,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1654
True,1.0,True,38.0,False,1.0,False,0.0,True,1.0,True,4.0,100.0,False,1865
False,0.0,True,29.0,False,2.0,False,0.0,False,1.0,False,2.0,100.0,False,2083
False,1.0,False,20.0,True,3.0,True,1.0,True,1.0,True,8.0,100.0,True,1844
False,0.0,False,2.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,925
True,1.0,True,33.0,True,2.0,False,0.0,True,1.0,False,4.0,100.0,True,1322
True,1.0,True,33.0,True,2.0,False,0.0,False,0.0,False,2.0,100.0,False,1638
False,0.0,True,26.0,False,2.0,False,0.0,True,1.0,False,4.0,100.0,False,1716
True,1.0,True,24.0,True,3.0,True,1.0,True,1.0,True,6.0,100.0,True,1567
True,1.0,False,32.0,False,2.0,False,1.0,False,0.0,False,4.0,100.0,False,2034
False,0.0,False,4.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,630
False,0.0,True,22.0,False,2.0,False,0.0,False,0.0,False,2.0,100.0,False,1946
False,0.0,False,67.0,False,0.0,False,2.0,False,0.0,False,4.0,100.0,True,1418
False,0.0,False,15.0,True,1.0,False,0.0,False,0.0,False,1.0,100.0,False,1433
False,0.0,False,16.0,False,0.0,False,0.0,False,0.0,False,0.0,100.0,False,1335
True,1.0,True,37.0,True,3.0,False,0.0,False,0.0,False,6.0,100.0,False,1872
False,0.0,True,19.0,True,2.0,False,0.0,True,1.0,True,4.0,100.0,True,939
